"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,90,"GRL","Greenland",1,"Avannaa",1,"Avanersuaq","Kommuner","Municipality",NA,"Qaanaaq"
2,90,"GRL","Greenland",1,"Avannaa",2,"Kommuneqarfiit avataanni","Kommuner","Municipality",NA,"Northeast Greenland National Park"
3,90,"GRL","Greenland",2,"Kitaa",3,"Aasiaat","Kommuneat","Municipality",NA,"Ausiait"
4,90,"GRL","Greenland",2,"Kitaa",4,"Ilulissat","Kommuner","Municipality",NA,"Jakobshavn"
5,90,"GRL","Greenland",2,"Kitaa",5,"Ivittuut","Kommuner","Municipality",NA,NA
6,90,"GRL","Greenland",2,"Kitaa",6,"Kangaatsiaq","Kommuner","Municipality",NA,NA
7,90,"GRL","Greenland",2,"Kitaa",7,"Maniitsoq","Kommuner","Municipality",NA,"Sukkertoppen"
8,90,"GRL","Greenland",2,"Kitaa",8,"Nanortalik","Kommuner","Municipality",NA,NA
9,90,"GRL","Greenland",2,"Kitaa",9,"Narsaq","Kommuner","Municipality",NA,NA
10,90,"GRL","Greenland",2,"Kitaa",10,"Nuuk","Kommuner","Municipality",NA,"Godthåb"
11,90,"GRL","Greenland",2,"Kitaa",11,"Paamiut","Kommuner","Municipality",NA,"Frederikshåb"
12,90,"GRL","Greenland",2,"Kitaa",12,"Qaqortoq","Kommuner","Municipality",NA,"Julianehåb"
13,90,"GRL","Greenland",2,"Kitaa",13,"Qasigiannguit","Kommuner","Municipality",NA,"Christianshåb"
14,90,"GRL","Greenland",2,"Kitaa",14,"Sisimiut","Kommuner","Municipality",NA,"Holsteinsborg"
15,90,"GRL","Greenland",2,"Kitaa",15,"Upernavik","Kommuner","Municipality",NA,NA
16,90,"GRL","Greenland",2,"Kitaa",16,"Uummannaq","Kommuner","Municipality",NA,NA
17,90,"GRL","Greenland",3,"Tunu",17,"Ammassalik","Kommuner","Municipality",NA,"Tasiilaq"
18,90,"GRL","Greenland",3,"Tunu",18,"Illoqqortoormiut","Kommuner","Municipality",NA,NA
19,90,"GRL","Greenland",3,"Tunu",19,"Kommuneqarfiit avataanni","Kommuner","Municipality",NA,"Northeast Greenland National Park"
